"country","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi"
"Malaysia",336.593627937198,194.49204097566,478.695214898736,109.693459104533,63.3835669251034,156.003351283963
"Maldives",1.66007787390476,0.859681423075576,2.46047432473394,0.541007521406461,0.280164035198737,0.801851007614185
"Mali",331.933495581829,92.5457443600019,571.321246803657,108.174755256578,30.1599970458935,186.189513467263
"Malta",0.68438467034803,0.498853446293485,0.869915894402575,0.223036075604492,0.162572774908145,0.283499376300839
"Mauritania",84.9562413933472,21.3584769490378,148.554005837657,27.6866322397962,6.96057507714178,48.4126894024506
"Mauritius",0.572602732942884,0.280523827042347,0.864681638843422,0.186607140646565,0.0914207114914791,0.281793569801651
"Mexico",330.464113793623,112.347196764711,548.581030822535,107.695894227386,36.6131489456424,178.77863950913
"Micronesia (Federated States of)",1.2737920483772,0.573554030926941,1.97403006582745,0.415119730051497,0.186917161864583,0.64332229823841
"Moldova",9.37205810661732,6.02230530350904,12.7218109097256,3.05428679367439,1.96262628194714,4.14594730540165
"Mongolia",158.759033504889,11.2559160157013,306.262150994077,51.7384350261469,3.66822263011695,99.8086474221768
"Montenegro",0.443873075536378,0.296612674119814,0.591133476952941,0.144655064795337,0.0966639518336895,0.192646177756985
"Morocco",483.889187174812,311.127280434833,656.651093914792,157.696029748934,101.394158355995,213.997901141874
"Mozambique",3180.11239603345,604.545207477384,5755.67958458951,1036.37591477876,197.016964936826,1875.73486462069
"Myanmar (Burma)",2370.38088041162,536.40101916001,4204.36074166323,772.490197634145,174.809260708396,1370.17113455989
"Namibia",193.299491856263,49.1350095806216,337.463974131904,62.9949236852999,16.0127486579704,109.977098712629
"Nepal",455.266135026402,16.6322531307453,893.90001692206,148.36798150414,5.4203324935018,291.315630514778
"Netherlands",7.7057661303733,4.58250230125272,10.8290299594939,2.51125414070201,1.49340476781897,3.52910351358506
"New Caledonia",0.346640087909184,0.221669758880051,0.471610416938317,0.112967528648975,0.0722405910635881,0.153694466234362
"New Zealand",4.88826673282446,2.99251541511659,6.78401805053234,1.59305121203654,0.975239398676388,2.2108630253967
"Nicaragua",38.5013054235614,15.2003398700535,61.8022709770693,12.5473004282142,4.95368218979421,20.1409186666342
"Niger",636.710028210769,175.707040108294,1097.71301631324,207.499250265117,57.2616693210065,357.736831209227
"Nigeria",12971.62946386,4014.42317540698,21928.8357523131,4227.36138777581,1308.27183841388,7146.45093713774
"North Korea",1250.76547951336,713.158684836177,1788.37227419054,407.615535734263,232.413321397504,582.817750071023
"North Macedonia",1.14431363586489,0.391384854988232,1.89724241674155,0.372923640259541,0.127549528634558,0.618297751884523
"Norway",2.69728771413685,1.73563506148999,3.65894036678371,0.879026799696384,0.565631069146291,1.19242253024648
"Oman",7.31182087858565,4.97055145827459,9.65309029889671,2.38287019703907,1.6198672163127,3.14587317776545
"Pakistan",9860.96906213975,2911.95760238303,16809.9805218965,3213.61938185805,948.986182919469,5478.25258079662
"Palestinian Territories",0.178288805948665,0.0419532660171336,0.314624345880197,0.058103048367199,0.013672269728798,0.1025338270056
"Panama",24.5220044334534,10.6980144073374,38.3459944595694,7.99154608768795,3.48640648096264,12.4966856944133
"Papua New Guinea",973.002254364986,519.910380785424,1426.09412794455,317.094484681446,169.435079452393,464.7538899105
"Paraguay",28.4808572424634,19.2164479718854,37.7452665130414,9.28170794062422,6.26250313369478,12.3009127475537
"Peru",641.710189024745,254.010685673591,1029.4096923759,209.128766958957,82.7802680989827,335.477265818932
"Philippines",5903.78529830049,747.528739469123,11060.0418571319,1924.00145882114,243.614276701991,3604.3886409403
"Poland",17.7420193660381,11.928849393638,23.5551893384382,5.78199738268204,3.88752681131951,7.67646795404458
"Portugal",8.77351364096865,5.33568410763372,12.2113431743036,2.8592254276371,1.73886133864849,3.97958951662572
"Puerto Rico",0.0420626239858564,0.0192586604205707,0.064866587551142,0.0137079087096764,0.00627625986920383,0.021139557550149
"Qatar",11.4741670381824,8.277802887571,14.6705311887939,3.73934907940767,2.69767683389591,4.78102132491943
"Romania",52.4745343411982,35.6494230382849,69.2996456441114,17.101075923694,11.6178923294411,22.584259517947
"Russia",358.642776414536,51.0042803427146,666.281272486357,116.87911909938,16.6219306474025,217.136307551357
"Rwanda",103.701831130853,49.7794565117221,157.624205749984,33.7956860381799,16.2227693096237,51.368602766736
"Samoa",0.177228895492739,0.113616621538332,0.240841169447147,0.0577576311204017,0.0370268454120457,0.0784884168287577
"Saudi Arabia",37.7896804260422,25.5932959672726,49.9860648848118,12.3153869245584,8.34067234647722,16.2901015026396
"Senegal",467.467878151352,169.823802103976,765.111954198728,152.344442433253,55.3443640785278,249.344520787978
"Serbia",5.72564791280996,3.56410320109987,7.88719262452005,1.86594775729967,1.16151577535844,2.57037973924091
"Seychelles",0.224126144573623,0.130040941292921,0.318211347854324,0.0730411096155109,0.0423794139034966,0.103702805327525
"Sierra Leone",592.679702414793,156.960408635923,1028.39899619366,193.150081590535,51.1522760286712,335.147887152399
"Singapore",27.4268507458649,16.8052587588798,38.0484427328501,8.93821475200062,5.47671379195635,12.3997157120449
"Slovakia",0.537303993612936,0.368171826238181,0.70643616098769,0.175103533632787,0.119984568372264,0.23022249889331
"Slovenia",0.583511166680324,0.426689641009198,0.740332692351449,0.190162121284213,0.139055106221748,0.241269136346677
"Solomon Islands",14.330697582402,6.41482416813938,22.2465709966647,4.67027197997923,2.09054537622399,7.24999858373447
"Somalia",1206.83384369449,231.276510714847,2182.39117667414,393.298529418295,75.371362866892,711.225695969698
"South Africa",3569.97876756312,839.286883638793,6300.67065148745,1163.43058050048,273.517600471571,2053.34356052939
"South Korea",44.3034809961003,35.4162284263036,53.190733565897,14.4381880031934,11.5418958710722,17.3344801353146
"South Sudan",501.848728425161,117.232639371694,886.464817478627,163.548915959985,38.2052797952396,288.892552124731
"Spain",22.6994754713089,14.3289892551611,31.0699616874568,7.39759691698908,4.66971524833374,10.1254785856444
"Sri Lanka",89.0559377391205,28.0606214956125,150.051253982628,29.0226939953384,9.14475611240943,48.9006318782673
"St. Lucia",0,0,0,0,0,0
"St. Vincent & Grenadines",0.0304838093494339,0.0217726600506091,0.0391949586482587,0.00993445572548515,0.00709555439149314,0.0127733570594772
"Sudan",522.62251017678,99.3962416525658,945.848778700994,170.318943048683,32.3925251814165,308.245360915949
"Suriname",1.71896715909467,0.961225372363673,2.47670894582567,0.560199118812103,0.313256482957804,0.807141754666403
"Sweden",5.06269370721832,3.09938274858294,7.0260046658537,1.64989571708454,1.01006669931498,2.28972473485411
"Switzerland",3.46960789704964,2.16517363256997,4.77404216152931,1.13072043073493,0.705614621328607,1.55582624014125
"Syria",60.9676177154758,25.4701566587853,96.4650787721663,19.8689111304899,8.30054212540772,31.437280135572
"São Tomé & Príncipe",5.6187999514322,-0.497066518756187,11.7346664216206,1.83112676988639,-0.161990427987508,3.82424396776028
"Tajikistan",192.688774499947,64.4306948487978,320.946854151095,62.7958952611433,20.9975032319743,104.594287290312
"Tanzania",2158.07452535998,-257.600269305668,4573.74932002563,703.30107299678,-83.9500877647937,1490.55223375835
"Thailand",411.412438016086,213.151132812104,609.673743220068,134.076374889171,69.464431675373,198.688318102969
"Timor-Leste",124.30953499306,22.3394994168326,226.279570569287,40.5115895289883,7.28028329209276,73.7428957658837
"Togo",64.4188791864491,35.7026722854234,93.1350860874748,20.9936525920124,11.6352458787317,30.3520593052931
"Tonga",0.00332425082691809,0.0030846651817348,0.00356383647210138,0.00108334959984384,0.00100527034940465,0.00116142885028304
"Trinidad & Tobago",1.24651984546783,0.875529781612512,1.61750990932315,0.406231913924785,0.285328902043363,0.527134925806206
"Tunisia",58.5453198778804,21.4891715765679,95.6014681791929,19.0795015673449,7.0031675227208,31.1558356119691
